cctvid,roadsection,px,py,url,status
66000C000054,"台中路/復興路(右側車流往建成路),Taichung Rd/Fuxing Rd (Right side Traffic flow to  Jiancheng Rd.)",120.6829,24.13444,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000054,0
66000C000055,"忠明南路/國光路(右側車流往益民路),Zhongming S Rd/Guoguang Rd (Right side Traffic flow to Yimin Rd)",120.6793,24.11901,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000055,0
66000C000056,"忠明南路/復興路(右側車流往中投公路),Zhongming S Rd/Fuxing Rd (Right side Traffic flow to Zhongtou Highway)",120.6615,24.12194,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000056,0
66000C000057,東大路/西屯路(右側車流往環中路)Dongda Rd./ Xitun Rd.(Right side Traffic flow to Huanzhong Rd.),120.6065,24.19278,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000057,0
66000C000058,"崇德路/松竹路(右側車流往文心路),Chongde Rd/Songzhu Rd (Right side Traffic flow to Wenxin Rd)",120.6861,24.18161,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000058,0
66000C000059,"臺灣大道/館前路( 右側車流往台中交流道),Taiwan Blvd /Guanqian Rd. (Right side Traffic flow to Taichung Interchange)",120.6641,24.15474,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000059,0
66000C000060,"臺灣大道/黎明路(車流往文心路),Taiwan Blvd/Liming Rd (Right side Traffic flow to Wenxin Rd)",120.6363,24.17078,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000060,0
66000C000061,台74高鐵臺中上匝道(往南屯方向),120.6199,24.12267,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000061,0
66000C000062,"環中路/崇德路(車流往潭子中山路),Huanzhong Rd/Chongde Rd (traffic to Tanzi Zhongshan Rd)",120.6864,24.20086,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000062,0
66000C000064,"中山路/大洲路(右側車流往豐原交流道),Zhongshan Rd/Dazhou Rd (Right side Traffic flow to Fengyuan Interchange)",120.6963,24.24842,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000064,0
66000C000065,"中山路/大豐北路(右側車流往豐原大道),Zhongshan Rd/Dafeng N. St (Right side Traffic flow to Fengyuan Blvd)",120.6992,24.24901,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000065,0
66000C000066,"中正路/豐原大道(右側車流往豐原交流道),Zhongzheng Rd/Fengyuan Blvd (Right side Traffic flow to Fengyuan Blvd)",120.7033,24.24947,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000066,0
66000C000067,"五權西路/環中路西側(右側車流往文心路),Wuquan W. Rd/West side of Huanzhong Rd (Right side Traffic flow to Wenxin Rd)",120.6235,24.14966,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000067,0
66000C000069,"五權西路/益豐路(右側車流往南屯交流道),Wuquan W. Rd/Wenxin Rd (Right side Traffic flow to Nantun Interchange)",120.6286,24.14783,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000069,0
66000C000070,"五權西路/惠文路(右側車流往文心路),Wuquan W. Rd./Huiwen Rd. (Right side Traffic flow to Wenxin Rd. )",120.6421,24.141,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000070,0
66000C000071,"崇德路/豐樂路(右側車流往環中路),Chongde Rd/Fengle Rd (Right side Traffic flow to Huanzhong Rd)",120.6865,24.19356,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000071,0
66000C000075,"向上路/惠文路(右側車流往文心路),Xiangshang Rd/Huiwen Rd (Right side Traffic flow to Wenxin Rd)",120.644,24.14683,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000075,0
66000C000076,文心路/向上南路(右側車流往臺灣大道)Wenxin Rd./Xiangshang S. Rd. (Right side Traffic flow to Taiwan Blvd),120.6468,24.14496,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000076,0
66000C000078," 市政路/河南路(右側車流往環中路),Shizheng Rd./,Henan Rd. (Right side Traffic flow to Huanzhong Rd.)",120.6363,24.16041,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000078,0
66000C000080,"文心路/河南路(右側車流往中清路),Wenxin Rd/Henan Rd (Right side Traffic flow to Zhongqing Rd)",120.6614,24.17164,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000080,0
66000C000081,"河南路/青海路(右側車流往臺灣大道),Henan Rd/Qinghai Rd (Right side Traffic flow to Taiwan Blvd)",120.6442,24.1712,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000081,0
66000C000082,"臺灣大道/五權路(右側車流往台中車站),Taiwan Blvd/Wuquan Rd(Right side Traffic flow to Taichung Station)",120.6734,24.14742,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000082,0
66000C000084,建成路/忠孝路(右側車流往大智路)  Jiancheng Rd/ Zhongxiao Rd (Right side Traffic flow to  Dazhi Rd),120.6937,24.13306,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000084,0
66000C000085,"公益路/市民廣場(右側車流往文心路),Gongyi Rd/Taichung Citizens Square (Right side Traffic flow to Wenxin Rd)",120.6644,24.15081,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000085,0
66000C000086,振興路/復興路(右側車流往忠孝路)Zhenxing Rd / Fuxing Rd (Right side Traffic flow to  Fuxing E. Rd),120.6891,24.13708,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000086,0
66000C000087,"向上路/東興路(右側車流往文心路),Xiangshang Rd/Dongxing Rd (Right side Traffic flow to Wenxin Rd)",120.6529,24.14667,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000087,0
66000C000088,"北屯路/太原路(右側車流往文心路),Beitun Rd/Taiyuan Rd (Right side Traffic flow to Wenxin Rd)",120.6942,24.16501,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000088,0
66000C000089,復興東一街/忠孝路(右側車流往復興路)Fuxing E. 1st Street /Zhongxiao Rd  (Right side Traffic flow to  Fuxing Rd),120.6918,24.13363,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000089,0
66000C000090,"環中東路/建軍二街(太原下匝道車流往東山路),Huanzhong E. Rd./Jianjun 2nd St. ( to Dongshan Rd.)",120.7191,24.16203,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000090,0
