cctv_ID,Direction,RoadName,VideoStreamURL
CCTV51,SW,台61橋下道路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=CCTV51&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV52,E,媽祖路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=CCTV52&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV53,N,鹿工南四路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=CCTV53&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV65,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV65&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV66,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV66&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV67,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV67&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV68,E,台74甲線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV68&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV69,S,139,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV69&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV70,E,工五路,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV70&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV71,SE,中山路,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV71&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV72,W,134,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV72&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV73,W,138,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV73&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV74,W,150,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV74&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV75,S,141,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV75&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV76,N,台17線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV76&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
